06-08-2019 10:29:48.000 +	ZET7156_X (08)	ZET7156_Y (09)	ZET7156_Z (10)	
c	мм/с	мм/с	мм/с	
90,092	-0,0795769	0,0766829	-0,0411399
90,094	-0,0478534	-0,0814375	-0,121758
90,096	-0,0397211	-0,0407759	-0,169906
90,098	-0,0560432	0,12536	-0,052606
90,1	-0,0678191	0,0969118	0,00179421
90,102	-0,0507204	-0,0903267	-0,111908
90,104	-0,0340177	-0,0791626	-0,139557
90,106	-0,0597981	0,0858234	-0,0468238
90,108	-0,0508792	0,0730832	-0,0393618
90,11	-0,0183273	-0,0680255	-0,0956647
90,112	-0,0234794	-0,0169862	-0,124544
90,114	-0,0726033	0,0807297	-0,0916119
90,116	-0,0971773	0,016881	-0,0382745
90,118	-0,0298745	-0,0835769	-0,0355749
90,12	0,0332198	-0,0378226	-0,0788683
90,122	-0,0280784	0,0869547	-0,120564
90,124	-0,0945821	0,0567364	-0,0924512
90,126	-0,0226468	-0,0630885	-0,0959111
90,128	0,0284756	-0,0512882	-0,0992788
90,13	-0,0554905	0,077497	-0,0437592
90,132	-0,0922839	0,0590665	-0,0294417
90,134	-0,0195024	-0,0711825	-0,144595
90,136	0,0354455	-0,0436639	-0,189211
90,138	0,00856901	0,102053	-0,0583209
90,14	-0,0243175	0,0888648	-0,0132801
90,142	-0,0268403	-0,0709834	-0,106906
90,144	-0,029326	-0,0105918	-0,190284
90,146	-0,0377969	0,0884603	-0,120089
90,148	-0,00880108	0,0149699	0,0163759
90,15	0,0099971	-0,00666176	-0,0472346
90,152	-0,0129333	0,0628003	-0,193347
90,154	-0,0144255	0,076176	-0,151742
90,156	-0,0369421	0,00177418	-0,0406146
90,158	-0,0300285	-0,0346513	-0,0650852
90,16	0,013833	0,054856	-0,0696486
90,162	-0,0453952	0,119115	-0,0643536
90,164	-0,0803947	0,0200778	-0,12383
90,166	0,019539	-0,0335564	-0,125337
90,168	0,0335983	0,0780702	-0,0525765
90,17	-0,0538586	0,138341	-0,0539583
90,172	-0,0779909	0,00714934	-0,0985851
90,174	-0,0298419	-0,0448715	-0,107575
90,176	0,0307801	0,0449461	-0,0884151
90,178	-0,0167225	0,119465	-0,0435031
90,18	-0,0833179	0,0837264	-0,0556649
90,182	-0,0315357	-0,0215578	-0,143123
90,184	0,0150048	0,0287442	-0,178172
90,186	-0,0585026	0,105636	-0,0432003
90,188	-0,0617511	0,0457608	0,0403364
90,19	0,0237931	-0,0357571	-0,087761
90,192	-0,0110395	0,0485376	-0,197919
90,194	-0,0610311	0,120168	-0,106543
90,196	-0,0546639	0,0230922	-0,0191983
90,198	-0,0174772	-0,00550166	-0,0739366
90,2	-0,000843205	0,0543891	-0,0913811
90,202	-0,0491735	0,049929	-0,0429184
90,204	-0,0824623	-0,00683802	-0,0739296
90,206	0,00830104	-0,00596953	-0,129591
90,208	0,0296458	0,0591375	-0,0841025
90,21	-0,076674	0,0803052	-0,0213423
90,212	-0,103189	0,0101444	-0,0690859
90,214	-0,0435209	-0,0359652	-0,138119
90,216	0,00504339	0,00470392	-0,0858811
90,218	-0,0304551	0,0207636	-0,00412859
90,22	-0,0874764	0,0169717	-0,0725135
90,222	-0,0547286	0,0192433	-0,163498
90,224	-0,0128563	-0,00123783	-0,115886
90,226	-0,0683253	-0,00550948	-0,0563539
90,228	-0,0825563	0,0149628	-0,0543709
90,23	-0,0239928	0,00160749	-0,0935731
90,232	-0,0481023	-0,0314659	-0,127157
90,234	-0,105488	-0,000595145	-0,102558
90,236	-0,0756519	0,0372271	-0,0654627
90,238	-0,0180372	0,0131203	-0,0987905
90,24	-0,0381976	-0,0291709	-0,142425
90,242	-0,0980527	-0,027633	-0,0879739
90,244	-0,0985652	-0,0137299	-0,0435676
90,246	-0,0366992	0,00256148	-0,0806751
90,248	-0,0440701	0,0202915	-0,111035
90,25	-0,104676	0,00341258	-0,0835859
90,252	-0,0851302	0,00438033	-0,0949387
90,254	-0,0260297	0,0217038	-0,136682
90,256	-0,0282815	-0,0282351	-0,0526449
90,258	-0,0790597	-0,0312825	-0,00405344
90,26	-0,0918257	0,0270251	-0,104746
90,262	-0,0591875	0,0511953	-0,154226
90,264	-0,0539655	0,0222684	-0,0843053
90,266	-0,063462	-0,0250878	-0,0616483
90,268	-0,0170586	0,0223209	-0,0947747
90,27	-0,0283819	0,0583129	-0,0997337
90,272	-0,0904831	-0,0164861	-0,0788326
90,274	-0,0863646	-0,0211091	-0,0807349
90,276	-0,0552937	0,0853774	-0,116659
90,278	-0,0133192	0,0891579	-0,124797
90,28	-0,034103	-0,0171517	-0,0884419
90,282	-0,0997697	-0,0260726	-0,0788755
90,284	-0,0399482	0,0541998	-0,081607
90,286	-0,0112655	0,0721559	-0,0912256
90,288	-0,104768	0,0250248	-0,103035
90,29	-0,0722853	0,00384058	-0,103007
90,292	0,000201203	0,0651994	-0,0958545
90,294	-0,0590026	0,0899178	-0,0932225
90,296	-0,0777159	0,00979317	-0,0557845
90,298	-0,0423482	-0,0214719	-0,0590753
90,3	-0,057598	0,0587789	-0,138941
90,302	-0,0669293	0,104334	-0,126186
90,304	-0,0598067	0,0363334	-0,0412541
90,306	-0,0458341	-0,0361056	-0,0463537
90,308	-0,00892703	0,0253824	-0,11585
90,31	-0,0493819	0,122328	-0,123055
90,312	-0,1137	0,0461851	-0,0823462
90,314	-0,0462196	-0,0656741	-0,056547
90,316	0,0144205	0,0458747	-0,0717765
90,318	-0,0338899	0,150213	-0,0835583
90,32	-0,0542798	0,0250155	-0,0907606
90,322	-0,0259798	-0,0779614	-0,111695
90,324	-0,0216974	0,0351328	-0,115519
90,326	-0,0327753	0,128978	-0,0369551
90,328	-0,0703095	0,0469086	-0,0264427
90,33	-0,0198933	-0,050536	-0,130928
90,332	0,0414691	-0,0316484	-0,15334
90,334	-0,0208926	0,0859226	-0,0502866
90,336	-0,0610111	0,0935526	-0,0315626
90,338	-0,012981	-0,0417657	-0,121715
90,34	-0,00755439	-0,042012	-0,148396
90,342	-0,0288006	0,0703675	-0,0440281
90,344	-0,0216452	0,0484506	-0,00305555
90,346	-0,00670334	-0,0332889	-0,0907157
90,348	0,00132837	-0,0252244	-0,151183
90,35	-0,00130018	0,0428038	-0,109381
90,352	-0,03273	0,0418127	-0,0495694
90,354	-0,0534589	-0,0161212	-0,0302598
90,356	-0,00234679	-0,0312499	-0,0657963
90,358	0,00290096	0,00268499	-0,11997
90,36	-0,0575202	0,010112	-0,117217
90,362	-0,0348425	-0,0107717	-0,0555058
90,364	0,027699	0,0112993	-0,0725876
90,366	-0,0153919	0,00868095	-0,113428
90,368	-0,0685441	-0,00997203	-0,0955389
90,37	-0,0221882	-0,0288813	-0,0726323
90,372	0,00433988	-0,0173567	-0,100228
90,374	-0,0464506	0,0185602	-0,102411
90,376	-0,0475697	0,0248577	-0,0677993
90,378	0,0205067	-0,00639083	-0,110905
90,38	0,00204241	-0,0147625	-0,144243
90,382	-0,0560689	0,0284873	-0,084282
90,384	-0,0308472	-0,00247911	-0,0403875
90,386	-0,00267573	-0,0254762	-0,121432
90,388	-0,0363199	0,0324541	-0,13637
90,39	-0,0521853	0,0459976	-0,0572462
90,392	-0,00403187	-0,01141	-0,0785564
90,394	0,00475389	-0,0117518	-0,14057
90,396	-0,018793	0,043049	-0,103157
90,398	-0,0454845	0,021384	-0,0427005
90,4	-0,0540874	-0,0104921	-0,0798307
90,402	-0,0148665	0,0277522	-0,114179
90,404	0,0150452	0,0458848	-0,0835673
90,406	-0,0369619	0,0273635	-0,065181
90,408	-0,0649074	0,0249568	-0,090284
90,41	-0,0201148	0,0296177	-0,103511
90,412	-0,00927271	0,0284721	-0,0786325
90,414	-0,0539334	0,0319803	-0,0512053
90,416	-0,0551706	0,0389665	-0,0742831
90,418	-0,0108619	0,0177801	-0,114687
90,42	-0,0310589	0,0273886	-0,111664
90,422	-0,0689926	0,0682472	-0,072248
90,424	-0,0576825	0,0420502	-0,0646274
90,426	-0,0435813	0,0190026	-0,0866016
90,428	-0,0511911	0,044124	-0,100292
90,43	-0,0446597	0,0422537	-0,0958215
90,432	-0,0333674	0,010321	-0,0923434
90,434	-0,046576	0,0300893	-0,0825242
90,436	-0,0619354	0,08383	-0,0805562
90,438	-0,0796262	0,055607	-0,0808647
90,44	-0,0748396	0,0154566	-0,094129
90,442	-0,0328383	0,0156615	-0,103145
90,444	-0,0233345	0,0323632	-0,0725932
90,446	-0,0742197	0,0516187	-0,0405507
90,448	-0,0879155	0,0570399	-0,0849209
90,45	-0,0344076	0,0276688	-0,134684
90,452	-0,033121	0,028252	-0,0953509
90,454	-0,0927115	0,0499136	-0,038514
90,456	-0,0788749	0,0202292	-0,0456362
90,458	-0,0142375	0,00419308	-0,0988869
90,46	-0,0423243	0,0324618	-0,120298
90,462	-0,0717297	0,0562578	-0,0772609
90,464	-0,0331226	0,0431649	-0,0556454
90,466	-0,030412	0,0138289	-0,0937006
90,468	-0,0498683	0,0139073	-0,113296
90,47	-0,0561379	0,0254959	-0,073923
90,472	-0,0545018	0,0280075	-0,0593364
90,474	-0,0365393	0,0337818	-0,105245
90,476	-0,0360156	0,0289028	-0,118881
90,478	-0,0434227	0,0292932	-0,102363
90,48	-0,0311474	0,00439923	-0,0996192
90,482	-0,039516	-0,0145285	-0,0973417
90,484	-0,0471392	0,0140993	-0,0829922
90,486	-0,0557143	0,0300233	-0,0967766
90,488	-0,0522185	0,0314961	-0,126364
90,49	-0,0280746	0,00710318	-0,111219
90,492	-0,0319606	-0,0114853	-0,0899864
90,494	-0,0334141	0,00560323	-0,0846899
90,496	-0,0297516	0,012083	-0,0879178
90,498	-0,0440362	-0,000519177	-0,10177
90,5	-0,0580654	0,000798608	-0,102836
90,502	-0,0434126	0,016557	-0,0941197
90,504	-0,0160874	0,00968888	-0,084298
90,506	-0,0247232	-0,00956984	-0,0776452
90,508	-0,0618306	-0,000451796	-0,0863975
90,51	-0,0391577	0,00876554	-0,103332
90,512	-0,0108448	0,00107775	-0,113073
90,514	-0,0192062	0,00543724	-0,0953433
90,516	-0,0273499	0,0088056	-0,0724264
90,518	-0,029561	0,000620819	-0,0861151
90,52	-0,02183	-0,000106214	-0,108773
90,522	-0,0115223	0,014773	-0,112493
90,524	-0,00504823	0,0209275	-0,0947696
90,526	-0,00444438	0,0103287	-0,0760402
90,528	-0,0141568	-0,0025493	-0,0849734
90,53	-0,00805557	0,0159799	-0,103622
90,532	0,00527115	0,0281844	-0,0871147
90,534	-0,0114729	0,0113218	-0,0803129
90,536	-0,016446	0,0199632	-0,10336
90,538	-0,0185686	0,0350954	-0,0916095
90,54	-0,0147409	0,012699	-0,0482591
90,542	0,00890054	-0,0141073	-0,0581692
90,544	0,00417768	0,0119934	-0,115962
90,546	-0,0124564	0,0523679	-0,110128
90,548	-0,0161754	0,0291783	-0,059145
90,55	-0,0156107	-0,000828688	-0,0581232
90,552	-0,00637103	0,0301051	-0,0839962
90,554	-0,00662697	0,0422909	-0,0877862
90,556	-0,00985662	7,12499e-005	-0,0818534
90,558	-0,0144613	-0,00435185	-0,0788898
90,56	-0,0330069	0,0553587	-0,082489
90,562	-0,0109055	0,0677404	-0,0929476
90,564	0,0106658	0,00101814	-0,100544
90,566	-0,0259886	-0,0236091	-0,0877491
90,568	-0,0452142	0,0330117	-0,0576083
90,57	-0,0328543	0,068953	-0,0804108
90,572	-0,0319085	0,0262775	-0,122114
90,574	-0,0181988	-0,000731572	-0,116712
90,576	0,00536496	0,031429	-0,0741774
90,578	-0,0128059	0,0580192	-0,0723262
90,58	-0,0413781	0,00671194	-0,0894797
90,582	-0,0410109	-0,0184561	-0,096973
90,584	-0,0228588	0,0467127	-0,110589
90,586	-0,0306173	0,0666154	-0,0800336
90,588	-0,0313564	0,0363296	-0,047315
90,59	-0,0142457	-0,00817086	-0,091446
90,592	-0,00458934	-0,00610647	-0,126359
90,594	-0,0221263	0,053224	-0,0758114
90,596	-0,0640256	0,0437757	-0,0465801
90,598	-0,0571014	0,00415256	-0,0907982
90,6	-0,0196842	0,0290986	-0,103853
90,602	-0,0169434	0,0466205	-0,0830558
90,604	-0,0311737	0,00292999	-0,0847661
90,606	-0,0389566	-0,00811402	-0,0902637
90,608	-0,0243289	0,0354527	-0,0955304
90,61	-0,026172	0,0409372	-0,111781
90,612	-0,0827274	0,0205673	-0,119771
90,614	-0,059052	0,00941957	-0,0774907
90,616	0,0165181	-0,00576243	-0,0716943
90,618	-0,0309095	0,00461245	-0,115367
90,62	-0,0879692	0,0532417	-0,12527
90,622	-0,0472386	0,036641	-0,118156
90,624	-0,0288478	-0,0281969	-0,114534
90,626	-0,0647872	0,00692074	-0,0751956
90,628	-0,0793227	0,0499527	-0,0585469
90,63	-0,0500411	-0,0140305	-0,110807
90,632	-0,0381747	-0,0406455	-0,142014
90,634	-0,0643491	0,0321309	-0,0992763
90,636	-0,0593897	0,0706789	-0,0665281
90,638	-0,0468973	-0,00069727	-0,0782372
90,64	-0,0698878	-0,0449798	-0,0990558
90,642	-0,0668156	-0,00608906	-0,0870939
90,644	-0,0528211	0,028926	-0,0753761
90,646	-0,0386398	0,0275138	-0,0817156
90,648	-0,0279366	-0,000919574	-0,0954057
90,65	-0,0564305	-0,00683004	-0,0834451
90,652	-0,0802451	0,0354114	-0,0662336
90,654	-0,0429608	0,0186422	-0,077556
90,656	-0,01564	-0,0416331	-0,0910296
90,658	-0,0445554	-0,000344267	-0,0885635
90,66	-0,0617908	0,0701557	-0,085314
90,662	-0,0227427	0,0335933	-0,0831054
90,664	-0,0236359	-0,0373832	-0,0877127
90,666	-0,0451338	0,00710986	-0,0932585
90,668	-0,0135449	0,0613854	-0,090824
90,67	-0,0219728	0,0189535	-0,105426
90,672	-0,0557148	-0,0251556	-0,111206
90,674	-0,0185846	0,0110371	-0,0722352
90,676	0,0107705	0,0478765	-0,0612917
90,678	-0,0385533	0,0260421	-0,100253
90,68	-0,0606549	-0,00221241	-0,123921
90,682	-0,00984202	0,00751476	-0,104564
90,684	0,00567264	0,0291742	-0,0771451
90,686	-0,0472116	0,0349357	-0,0468316
90,688	-0,0449947	0,0197208	-0,0459847
90,69	-0,0117125	5,6826e-005	-0,122041
90,692	-0,0373939	0,0158084	-0,157931
90,694	-0,0405723	0,0530971	-0,0696111
90,696	-0,00777708	0,0257051	-0,0143371
90,698	-0,0211958	-0,00811759	-0,0870173
90,7	-0,0412004	0,0238085	-0,134886
90,702	-0,0209593	0,0268411	-0,0996509
90,704	8,09445e-005	0,00817944	-0,0954225
90,706	-0,0175984	0,0319534	-0,0951392
90,708	-0,0336186	0,0648805	-0,079261
90,71	-0,019562	0,0249655	-0,0943196
90,712	-0,0153268	-0,00814483	-0,120394
90,714	-0,00306375	0,0269176	-0,0988319
90,716	0,0115823	0,0478019	-0,0747414
90,718	-0,0211794	0,0457538	-0,118221
90,72	-0,0301482	0,0318939	-0,119477
90,722	0,00781048	0,0175843	-0,0757882
90,724	0,00442575	0,0314158	-0,0750055
90,726	-0,0265983	0,0480828	-0,104581
90,728	0,00318697	0,0280235	-0,104236
90,73	0,0197493	0,00636071	-0,101057
90,732	-0,0200041	0,0467585	-0,101059
90,734	-0,0219563	0,0701033	-0,0716368
90,736	0,026448	0,0153957	-0,0682429
90,738	0,00382376	-0,0261748	-0,115016
90,74	-0,0474853	0,0263302	-0,108763
90,742	-0,0190663	0,0618674	-0,0615979
90,744	0,0222584	0,00753739	-0,0629137
90,746	-0,00994722	0,0080638	-0,0996705
90,748	-0,0385098	0,0564825	-0,088427
90,75	-0,0164388	0,0206154	-0,0746172
90,752	-0,0249973	-0,0338054	-0,101507
90,754	-0,038506	0,00522417	-0,0880179
90,756	-0,010546	0,0540893	-0,0413894
90,758	-0,0253542	0,0217643	-0,0755043
90,76	-0,0645155	-0,0208671	-0,141459
90,762	-0,0243524	-0,00583785	-0,108039
90,764	-0,00303986	0,00539201	-0,0527337
90,766	-0,0476189	-0,000159293	-0,0711412
90,768	-0,0540569	0,000574059	-0,104914
90,77	-0,0282243	-0,00530455	-0,0986868
90,772	-0,0306228	-0,00211709	-0,0876222
90,774	-0,0411059	0,0188556	-0,0864673
90,776	-0,0402325	0,0152984	-0,0887384
90,778	-0,0359837	-0,026112	-0,0917793
90,78	-0,0418804	-0,0281973	-0,0882035
90,782	-0,044556	0,0227258	-0,0840802
90,784	-0,0413534	0,00775746	-0,0793207
90,786	-0,0331508	-0,0272991	-0,0855588
90,788	-0,0314413	-0,00769986	-0,109635
90,79	-0,0482025	0,00657911	-0,0980354
90,792	-0,0516512	0,0122969	-0,0721406
90,794	-0,0278943	-0,00426063	-0,0733646
90,796	-0,0137957	-0,0221599	-0,0924585
90,798	-0,0420113	-0,00197354	-0,0765693
90,8	-0,0680658	0,0350526	-0,0881825
90,802	-0,0224815	0,000997884	-0,108953
90,804	-0,0139468	-0,0338252	-0,0794193
90,806	-0,0660771	0,0236409	-0,0507519
90,808	-0,0498896	0,0436627	-0,0622789
90,81	-0,0204689	-0,00379799	-0,114132
90,812	-0,0569351	-0,0359676	-0,118355
90,814	-0,0591122	0,00966425	-0,0670968
90,816	-0,0236218	0,0612943	-0,0453933
90,818	-0,048176	0,0278339	-0,0892265
90,82	-0,068303	-0,0140756	-0,133558
90,822	-0,0382295	-0,00682196	-0,112135
90,824	-0,0143594	0,0354118	-0,0719977
90,826	-0,0490321	0,0338144	-0,0566912
90,828	-0,0738382	0,0115681	-0,0887884
90,83	-0,030153	0,0246292	-0,135921
90,832	-0,0167866	0,0298171	-0,133675
90,834	-0,0573045	0,028329	-0,0842593
90,836	-0,0463087	0,01927	-0,0365934
90,838	-0,0242412	0,022399	-0,0848912
90,84	-0,0430931	0,0440601	-0,151296
90,842	-0,045709	0,0265272	-0,108229
90,844	-0,030092	0,030826	-0,0637673
90,846	-0,0255278	0,0427837	-0,0882797
90,848	-0,0298931	0,0291511	-0,100648
90,85	-0,0248371	0,0258582	-0,0907747
90,852	-0,0315552	0,0134296	-0,105348
90,854	-0,013191	0,0365478	-0,0965328
90,856	-0,00270014	0,056604	-0,0643817
90,858	-0,0350984	0,0462174	-0,0950884
90,86	-0,0262821	0,0165336	-0,125991
90,862	0,00138357	0,00627275	-0,0899995
90,864	0,00297631	0,0328973	-0,0633602
90,866	-0,0119581	0,0434387	-0,0700315
90,868	-0,0300238	0,0493708	-0,10173
90,87	-0,016463	0,0195165	-0,115116
90,872	-0,00136432	-0,000551306	-0,097993
90,874	-0,0231382	0,0367093	-0,0714996
90,876	-0,0100222	0,0411872	-0,0616574
90,878	0,00748641	-0,00916946	-0,0877702
90,88	-0,0305353	-0,00492237	-0,110484
90,882	-0,021017	0,0508047	-0,103292
90,884	0,0189454	0,033647	-0,0729407
90,886	-0,000702035	-0,0057865	-0,0798011
90,888	-0,036634	-0,00547105	-0,09552
90,89	-0,0317368	0,0283478	-0,0945931
90,892	-0,0153563	0,0175618	-0,0894861
90,894	-0,00132496	-0,0262539	-0,0804169
90,896	0,0107367	-0,00334799	-0,0941136
90,898	-0,0148575	0,0323907	-0,09827
90,9	-0,0376337	0,0145544	-0,0946249
90,902	-0,0324479	-0,0278548	-0,0936121
90,904	-0,0160536	-0,0140791	-0,0878038
90,906	-0,00674133	0,0251741	-0,0759619
90,908	-0,0163789	0,0201043	-0,078887
90,91	-0,0179716	-0,0173511	-0,109282
90,912	-0,00179369	-0,0270571	-0,106508
90,914	-0,0095491	0,0148122	-0,0895327
90,916	-0,0179417	0,0305142	-0,0719668
90,918	-0,0280729	-0,00253132	-0,0820144
90,92	-0,0427124	-0,0272193	-0,107117
90,922	0,00501005	-0,00656442	-0,0988936
90,924	0,0342292	0,0133942	-0,063081
90,926	-0,0252689	0,0224068	-0,0742073
90,928	-0,0497723	0,0195205	-0,109583
90,93	-0,0262141	0,00501305	-0,121197
90,932	-0,0124489	-0,00476112	-0,0862894
90,934	-0,0142099	0,0112171	-0,0466721
90,936	-0,00570548	0,021435	-0,0541835
90,938	-0,0143578	0,00842508	-0,117951
90,94	-0,0381296	0,00722711	-0,145116
90,942	-0,0423607	0,0223196	-0,0866085
90,944	-0,0145383	0,0522219	-0,0471906
90,946	-0,0157834	0,0245652	-0,0836704
90,948	-0,035645	-0,00655286	-0,116661
90,95	-0,0216662	-0,004078	-0,0995749
90,952	-0,0205919	0,0383805	-0,0838163
90,954	-0,04854	0,0748401	-0,0918225
90,956	-0,0655075	0,0357282	-0,0944417
90,958	-0,0257617	-0,00375215	-0,097965
90,96	-0,0230979	0,019529	-0,112877
90,962	-0,0489841	0,0423901	-0,0786171
90,964	-0,0385604	0,0157442	-0,0426827
90,966	-0,027998	0,0226357	-0,0989152
90,968	-0,0567144	0,0643897	-0,140306
90,97	-0,0681832	0,0850203	-0,0922211
90,972	-0,0444301	0,014991	-0,059844
90,974	-0,0148725	-0,0240845	-0,0784018
90,976	-0,00696646	0,0390027	-0,0752043
90,978	-0,0563496	0,0837971	-0,0772536
90,98	-0,0668429	0,0438937	-0,121692
90,982	-0,0403766	-0,0025548	-0,113879
90,984	-0,0108615	0,0515663	-0,0643601
90,986	-0,0203903	0,0720461	-0,0399131
90,988	-0,0652938	0,0223397	-0,0924853
90,99	-0,0385701	-0,0229252	-0,120812
90,992	0,00570577	0,0193099	-0,0905081
90,994	-0,0290916	0,105873	-0,0599104
90,996	-0,0587728	0,0851197	-0,0598183
90,998	-0,0188193	-0,0119395	-0,109458
91	-0,0201952	-0,0391	-0,138821
91,002	-0,0297599	0,0381769	-0,0560654
91,004	-0,0239884	0,0852864	-0,00663826
91,006	-0,0266283	0,0210734	-0,103739
91,008	-0,0264352	-0,0246287	-0,164305
91,01	-0,0107711	0,0366125	-0,0920837
91,012	-0,0192949	0,0494415	-0,0384635
91,014	-0,0383953	-0,00808471	-0,0668706
91,016	-0,0335741	-0,0159537	-0,103362
91,018	-0,0346166	0,0157727	-0,111909
91,02	-0,0287041	0,0131327	-0,0741168
91,022	-0,0242769	0,0215791	-0,0500919
91,024	0,00563724	0,0216969	-0,0962222
91,026	-0,00551293	-0,027522	-0,13214
91,028	-0,059856	-0,0200026	-0,0816882
91,03	-0,0636834	0,0204279	-0,0435771
91,032	-0,0180496	0,0101989	-0,0827826
91,034	-0,0193677	-0,0241054	-0,0935872
91,036	-0,00746251	-0,00373836	-0,0841266
91,038	0,0201373	0,00448163	-0,107367
91,04	-0,0370382	0,000977305	-0,120532
91,042	-0,0572286	-0,000615744	-0,0758782
91,044	-0,000600426	-0,0351103	-0,0442886
91,046	-0,00843429	-0,000751964	-0,103028
91,048	-0,0572606	0,0346339	-0,110688
91,05	-0,00172817	-0,0129309	-0,0775064
91,052	0,0434256	-0,0591454	-0,097746
91,054	-0,0137896	0,0128094	-0,105734
91,056	-0,0359557	0,0874534	-0,0619987
91,058	-0,0215534	-0,0121054	-0,0771205
91,06	-0,0188935	-0,0904816	-0,12952
91,062	-0,000611898	0,0085347	-0,0797132
91,064	0,0178901	0,0874476	-0,0201929
91,066	-0,00752344	0,0158093	-0,0937397
91,068	-0,0451473	-0,0504415	-0,161772
91,07	-0,010524	0,0187375	-0,112637
91,072	0,0370935	0,0372823	-0,0257641
91,074	-0,0333908	0,00427814	-0,0558452
91,076	-0,0543638	-0,0105405	-0,111433
91,078	0,0254671	-0,00880514	-0,111286
91,08	0,00672976	0,0363034	-0,103845
91,082	-0,0673164	0,0723341	-0,0778021
91,084	-0,0267214	0,0261878	-0,0625902
91,086	0,0191651	-0,0383344	-0,0949488
91,088	-0,0209324	0,016804	-0,125667
91,09	-0,0489509	0,0584889	-0,0638773
91,092	-0,0247819	0,0155024	-0,047444
91,094	-0,0087087	0,0096519	-0,121961
91,096	-0,0331938	0,0614521	-0,136379
91,098	-0,0512597	0,0454155	-0,0710775
91,1	-0,0435965	-0,0184899	-0,0553581
91,102	-0,00388776	-0,00300423	-0,0946465
91,104	-0,00299841	0,0567437	-0,0882045
91,106	-0,051573	0,0594638	-0,0722117
91,108	-0,0527219	0,0334557	-0,110725
91,11	-0,000242501	0,0116491	-0,119679
91,112	-0,015626	0,0237613	-0,0593113
91,114	-0,0754077	0,0627294	-0,0330106
91,116	-0,0505341	0,0351627	-0,0758401
91,118	0,0115287	-0,00811365	-0,12016
91,12	-0,0107528	0,0157772	-0,104038
91,122	-0,0512137	0,078492	-0,059347
91,124	-0,0106705	0,0608673	-0,0536523
91,126	-0,0213361	-0,0269154	-0,0935187
91,128	-0,0685678	0,00814022	-0,103943
91,13	-0,0487068	0,080468	-0,0658925
91,132	0,000226583	0,0401778	-0,0546351
91,134	-0,00359915	-0,0213869	-0,0876803
91,136	-0,0386839	0,015532	-0,106106
91,138	-0,0288439	0,0664091	-0,0937256
91,14	-0,0237417	0,0173903	-0,0731825
91,142	-0,0522283	-0,0270654	-0,0736461
91,144	-0,0419851	0,0157845	-0,0851598
91,146	-0,0187247	0,0579267	-0,0810535
91,148	-0,0426332	0,0146396	-0,0783881
91,15	-0,0309036	-0,0318929	-0,0865072
91,152	-0,0140777	0,0116996	-0,103562
91,154	-0,043699	0,0629693	-0,0989726
91,156	-0,0557466	0,00514826	-0,0740806
91,158	-0,0366127	-0,0563524	-0,0645751
91,16	-0,0392771	-0,0174099	-0,0821172
91,162	-0,0387096	0,0420505	-0,0942286
91,164	-0,0230781	0,0159108	-0,0930065
91,166	-0,0426448	-0,0267917	-0,0926954
91,168	-0,049852	0,00353181	-0,0988731
91,17	-0,0205494	0,00992089	-0,0805126
91,172	-0,0151316	-0,0204827	-0,0605198
91,174	-0,036813	-0,0261908	-0,0677899
91,176	-0,044735	0,0146157	-0,101019
91,178	-0,0283636	0,0330771	-0,113202
91,18	-0,0263114	0,00968792	-0,108449
91,182	-0,0270381	-0,0199812	-0,0761093
91,184	-0,00777199	-0,00946781	-0,0510861
91,186	-0,00273333	-0,00497711	-0,0763791
91,188	-0,0380612	-0,0128983	-0,129599
91,19	-0,0245718	0,0118829	-0,130936
91,192	0,0022232	0,0226086	-0,0654647
91,194	-0,0158721	0,0299966	-0,0606044
91,196	-0,0376578	0,0115911	-0,107086
91,198	-5,6006e-005	-0,0204132	-0,10327
91,2	0,0423251	-0,0218141	-0,0702089
91,202	-0,0157115	0,0228369	-0,0897774
91,204	-0,0498367	0,0595462	-0,10565
91,206	0,00740677	0,0252573	-0,0765021
91,208	0,0144882	-0,01197	-0,0889811
91,21	-0,0382898	0,0047656	-0,099216
91,212	-0,019554	0,023883	-0,0466686
91,214	0,0257634	0,0156388	-0,0697934
91,216	0,0107722	-0,0024859	-0,134709
91,218	-0,0416546	0,0420617	-0,09007
91,22	-0,0275027	0,0662121	-0,0337719
91,222	0,0257656	-0,0110476	-0,0894972
91,224	0,0086557	-0,00797478	-0,13306
91,226	-0,0347247	0,0517113	-0,0588739
91,228	-0,0171435	0,0352982	-0,0424197
91,23	0,014288	-0,00398061	-0,11246
91,232	-0,00801034	0,0332614	-0,0997275
91,234	0,00427159	0,0710206	-0,0525478
91,236	0,0130545	0,0190189	-0,100991
91,238	-0,0118575	-0,0128413	-0,130813
91,24	-0,00398147	0,0279066	-0,0549101
91,242	-0,000276775	0,0609315	-0,0294424
91,244	-0,0226712	0,0565353	-0,0989538
91,246	0,000639652	0,0289562	-0,127112
91,248	0,0219578	-0,00411376	-0,0951615
91,25	0,013259	0,0228321	-0,0790936
91,252	0,00793432	0,0714832	-0,0818717
91,254	-0,00466171	0,0212381	-0,0668807
91,256	-0,00416103	-0,0219321	-0,0754182
91,258	-0,00735514	0,0480622	-0,101842
91,26	-0,00404156	0,091412	-0,0919594
91,262	0,0203398	0,012324	-0,0675628
91,264	0,0170248	-0,0271281	-0,0882491
91,266	0,00681232	0,0540663	-0,0996136
91,268	-0,00364285	0,0617974	-0,0511607
91,27	-0,0268932	0,000397081	-0,0607031
